[2021-04-05 12:04:01] No settings files found: D:/Mindustry-Server/config/settings.bin and D:/Mindustry-Server/config/settings_backup.bin
[2021-04-05 12:04:02] Saving 2 values; 44 bytes
[2021-04-05 12:05:02] Saving 2 values; 44 bytes
[2021-04-05 12:05:25] Saving 2 values; 44 bytes
[2021-04-05 12:05:25] Saving 3 values; 71 bytes
[2021-04-05 12:05:26] Saving 3 values; 71 bytes
[2021-04-05 12:06:02] Saving 3 values; 71 bytes
[2021-04-05 12:07:02] Saving 3 values; 71 bytes
[2021-04-05 12:08:02] Saving 3 values; 71 bytes
[2021-04-05 12:09:02] Saving 3 values; 71 bytes
[2021-04-05 12:10:02] Saving 3 values; 71 bytes
[2021-04-05 12:11:02] Saving 3 values; 71 bytes
[2021-04-05 12:11:56] Saving 3 values; 71 bytes
[2021-04-05 12:11:56] Saving 3 values; 71 bytes
[2021-04-05 12:11:56] Saving 3 values; 71 bytes
[2021-04-05 12:12:02] Saving 3 values; 71 bytes
[2021-04-05 12:13:02] Saving 3 values; 71 bytes
[2021-04-05 12:14:02] Saving 3 values; 71 bytes
[2021-04-05 12:15:02] Saving 7 values; 260 bytes
[2021-04-05 12:16:02] Saving 7 values; 260 bytes
[2021-04-05 12:17:02] Saving 7 values; 260 bytes
[2021-04-05 12:17:53] Saving 7 values; 260 bytes
[2021-04-05 12:17:53] Saving 7 values; 260 bytes
[2021-04-05 12:17:54] Saving 7 values; 260 bytes
[2021-04-05 12:18:02] Saving 7 values; 260 bytes
[2021-04-05 12:19:02] Saving 7 values; 260 bytes
[2021-04-05 12:20:02] Saving 7 values; 260 bytes
[2021-04-05 12:21:02] Saving 7 values; 260 bytes
[2021-04-05 12:22:02] Saving 7 values; 494 bytes
[2021-04-05 12:23:02] Saving 7 values; 494 bytes
[2021-04-05 12:24:02] Saving 7 values; 494 bytes
[2021-04-05 12:25:02] Saving 7 values; 494 bytes
[2021-04-05 12:26:02] Saving 7 values; 494 bytes
[2021-04-05 12:27:02] Saving 7 values; 494 bytes
[2021-04-05 12:28:02] Saving 7 values; 494 bytes
[2021-04-05 12:28:35] Saving 7 values; 494 bytes
[2021-04-05 12:28:35] Saving 7 values; 494 bytes
[2021-04-05 12:28:36] Saving 7 values; 494 bytes
[2021-04-05 12:29:02] Saving 7 values; 494 bytes
[2021-04-05 12:30:02] Saving 7 values; 494 bytes
[2021-04-05 12:31:02] Saving 7 values; 494 bytes
[2021-04-05 12:32:02] Saving 7 values; 494 bytes
[2021-04-05 12:33:02] Saving 7 values; 494 bytes
[2021-04-05 12:34:02] Saving 7 values; 494 bytes
[2021-04-05 12:35:02] Saving 7 values; 494 bytes
[2021-04-05 12:36:02] Saving 7 values; 494 bytes
[2021-04-05 12:37:02] Saving 7 values; 494 bytes
[2021-04-05 12:38:02] Saving 7 values; 494 bytes
[2021-04-05 12:39:02] Saving 7 values; 494 bytes
[2021-04-05 12:40:02] Saving 7 values; 494 bytes
[2021-04-05 12:41:02] Saving 7 values; 494 bytes
[2021-04-05 12:42:02] Saving 7 values; 494 bytes
[2021-04-05 12:43:02] Saving 7 values; 494 bytes
[2021-04-05 12:44:02] Saving 7 values; 494 bytes
[2021-04-05 12:45:02] Saving 7 values; 494 bytes
[2021-04-05 12:46:02] Saving 7 values; 494 bytes
[2021-04-05 12:47:02] Saving 7 values; 494 bytes
[2021-04-05 12:48:02] Saving 7 values; 494 bytes
[2021-04-05 12:49:02] Saving 7 values; 494 bytes
[2021-04-05 12:50:02] Saving 7 values; 494 bytes
[2021-04-05 12:51:02] Saving 7 values; 494 bytes
[2021-04-05 12:52:02] Saving 7 values; 494 bytes
[2021-04-05 12:53:02] Saving 7 values; 494 bytes
[2021-04-05 12:54:02] Saving 7 values; 494 bytes
[2021-04-05 12:55:02] Saving 7 values; 494 bytes
[2021-04-05 12:56:02] Saving 7 values; 494 bytes
[2021-04-05 12:57:02] Saving 7 values; 494 bytes
[2021-04-05 12:58:02] Saving 7 values; 494 bytes
[2021-04-05 12:59:02] Saving 7 values; 494 bytes
[2021-04-05 13:00:02] Saving 7 values; 494 bytes
[2021-04-05 13:00:13] Saving 7 values; 494 bytes
[2021-04-05 13:00:13] Saving 7 values; 494 bytes
[2021-04-05 13:00:14] Saving 7 values; 494 bytes
[2021-04-05 13:01:02] Saving 7 values; 494 bytes
[2021-04-05 13:02:02] Saving 7 values; 494 bytes
[2021-04-05 13:03:02] Saving 7 values; 494 bytes
[2021-04-05 13:04:02] Saving 7 values; 494 bytes
[2021-04-05 13:05:02] Saving 7 values; 494 bytes
[2021-04-05 13:06:02] Saving 7 values; 494 bytes
[2021-04-05 13:07:02] Saving 7 values; 494 bytes
[2021-04-05 13:08:02] Saving 7 values; 494 bytes
[2021-04-05 13:09:02] Saving 7 values; 494 bytes
[2021-04-05 13:10:02] Saving 7 values; 494 bytes
[2021-04-05 13:11:02] Saving 7 values; 494 bytes
[2021-04-05 13:12:02] Saving 7 values; 494 bytes
[2021-04-05 13:13:02] Saving 7 values; 494 bytes
[2021-04-05 13:14:02] Saving 7 values; 494 bytes
[2021-04-05 13:15:02] Saving 7 values; 494 bytes
[2021-04-05 13:16:02] Saving 7 values; 494 bytes
[2021-04-05 13:17:02] Saving 7 values; 494 bytes
[2021-04-05 13:18:02] Saving 7 values; 494 bytes
[2021-04-05 13:19:02] Saving 7 values; 494 bytes
[2021-04-05 13:20:02] Saving 7 values; 494 bytes
[2021-04-05 13:21:02] Saving 7 values; 494 bytes
[2021-04-05 13:22:02] Saving 7 values; 494 bytes
[2021-04-05 13:23:02] Saving 7 values; 494 bytes
[2021-04-05 13:24:02] Saving 7 values; 494 bytes
[2021-04-05 13:25:02] Saving 7 values; 494 bytes
[2021-04-05 13:26:02] Saving 7 values; 494 bytes
[2021-04-05 13:27:02] Saving 7 values; 494 bytes
[2021-04-05 13:28:02] Saving 7 values; 494 bytes
[2021-04-05 13:29:02] Saving 7 values; 494 bytes
[2021-04-05 13:30:02] Saving 7 values; 494 bytes
[2021-04-05 13:31:02] Saving 7 values; 494 bytes
[2021-04-05 13:32:02] Saving 7 values; 494 bytes
[2021-04-05 13:33:02] Saving 7 values; 494 bytes
[2021-04-05 13:34:02] Saving 7 values; 494 bytes
[2021-04-05 13:35:02] Saving 7 values; 494 bytes
[2021-04-05 13:36:02] Saving 7 values; 494 bytes
[2021-04-05 13:37:02] Saving 7 values; 494 bytes
[2021-04-05 13:38:02] Saving 7 values; 494 bytes
[2021-04-05 13:38:25] Saving 7 values; 494 bytes
[2021-04-05 13:38:25] Saving 7 values; 494 bytes
[2021-04-05 13:38:25] Saving 7 values; 494 bytes
[2021-04-05 13:39:02] Saving 7 values; 494 bytes
[2021-04-05 13:40:02] Saving 7 values; 494 bytes
[2021-04-05 13:41:02] Saving 7 values; 494 bytes
[2021-04-05 13:42:02] Saving 7 values; 494 bytes
[2021-04-05 13:43:02] Saving 7 values; 494 bytes
[2021-04-05 13:44:02] Saving 7 values; 494 bytes
[2021-04-05 13:44:42] Saving 7 values; 494 bytes
[2021-04-05 13:44:42] Saving 7 values; 494 bytes
[2021-04-05 13:44:42] Saving 7 values; 494 bytes
[2021-04-05 13:45:02] Saving 7 values; 494 bytes
[2021-04-05 13:46:02] Saving 7 values; 494 bytes
[2021-04-05 13:47:02] Saving 7 values; 494 bytes
[2021-04-05 13:48:02] Saving 7 values; 494 bytes
[2021-04-05 13:49:02] Saving 7 values; 494 bytes
[2021-04-05 13:50:02] Saving 7 values; 494 bytes
[2021-04-05 13:50:38] Saving 7 values; 494 bytes
[2021-04-05 13:50:38] Saving 7 values; 494 bytes
[2021-04-05 13:50:38] Saving 7 values; 494 bytes
[2021-04-05 13:51:02] Saving 7 values; 494 bytes
[2021-04-05 13:52:02] Saving 7 values; 494 bytes
[2021-04-05 13:53:02] Saving 7 values; 494 bytes
[2021-04-05 13:54:02] Saving 7 values; 494 bytes
[2021-04-05 13:55:02] Saving 7 values; 494 bytes
[2021-04-05 13:56:02] Saving 7 values; 494 bytes
[2021-04-05 13:57:02] Saving 7 values; 494 bytes
[2021-04-05 13:57:12] Saving 7 values; 494 bytes
[2021-04-05 13:57:12] Saving 7 values; 494 bytes
[2021-04-05 13:57:13] Saving 7 values; 494 bytes
[2021-04-05 13:58:02] Saving 7 values; 494 bytes
[2021-04-05 13:59:02] Saving 7 values; 494 bytes
[2021-04-05 14:00:02] Saving 7 values; 494 bytes
[2021-04-05 14:01:02] Saving 7 values; 494 bytes
[2021-04-05 14:02:02] Saving 7 values; 494 bytes
[2021-04-05 14:03:02] Saving 7 values; 494 bytes
[2021-04-05 14:03:43] Saving 7 values; 494 bytes
[2021-04-05 14:03:43] Saving 7 values; 494 bytes
